Package,Version,License(s)
scala-logging,"3.9.4, 3.9.2",Apache License 2.0
aws-java-sdk-for-amazon-emr,"1.12.124, 1.12.261, 1.11.892",Apache License 2.0
aws-java-sdk-for-aws-budgets,"1.12.261, 1.11.892, 1.12.124",Apache License 2.0
aws-java-sdk-for-amazon-machine-learning,"1.12.261, 1.12.124, 1.11.892",Apache License 2.0
@babel-plugin-bugfix-safari-id-destructuring-collision-in-function-expression,"7.16.2, 7.18.6",MIT License
@babel-plugin-proposal-private-property-in-object,"7.21.0, 7.18.6, 7.15.4, 7.14.5, 7.16.0",MIT License
@babel-plugin-transform-template-literals,"7.16.0, 7.14.5, 7.18.9",MIT License
aws-java-sdk-for-aws-compute-optimizer,"1.11.892, 1.12.261, 1.12.124",Apache License 2.0
@types-sinonjs__fake-timers,"6.0.4, 6.0.1",MIT License
isarray,"0.0.1, 1.0.0",MIT License
chill,0.9.3,Apache License 2.0
@babel-plugin-proposal-optional-chaining,"7.14.5, 7.21.0, 7.16.0",MIT License
go-uber-org-multierr,v1.5.0,MIT License
@storybook-expect,27.5.2-0,MIT License
isbinaryfile,4.0.8,MIT License
regenerator-transform,0.14.5,MIT License
abbrev,1.1.1,ISC License
postcss-replace-overflow-wrap,3.0.0,MIT License
aws-java-sdk-for-amazon-sagemaker-feature-store-runtime,"1.12.124, 1.12.261",Apache License 2.0
aws-java-sdk-for-aws-elemental-mediapackage,"1.12.124, 1.12.261, 1.11.892",Apache License 2.0
rimraf,"2.7.1, 3.0.2",ISC License
tapable,2.2.0,MIT License
openconfig-working-group,v1.0.0,Apache License 2.0
@babel-plugin-transform-arrow-functions,"7.14.5, 7.16.0, 7.20.7",MIT License
bouncy-castle-provider,1.72,MIT License
stream-reactor,"2.0.0, v0.2.5-alpha, 1.2.0, 1.1.0, 0.2.6",Apache License 2.0
@jimp-plugin-color,0.10.3,MIT License
unset-value,1.0.0,MIT License
aws-java-sdk-for-aws-proton,"1.12.124, 1.12.261",Apache License 2.0
@babel-helper-replace-supers,"7.16.0, 7.18.9, 7.15.0, 7.20.7, 7.15.4",MIT License
@babel-plugin-transform-react-jsx,7.16.0,MIT License
fs-monkey,1.0.3,The Unlicense
@babel-plugin-proposal-numeric-separator,"7.14.5, 7.16.0, 7.18.6",MIT License
env-paths,2.2.1,MIT License
aws-java-sdk-for-amazon-eventbridge,"1.11.892, 1.12.124, 1.12.261",Apache License 2.0
@sinonjs-fake-timers,9.1.2,"BSD 3-clause ""New"" or ""Revised"" License"
aws-java-sdk-for-amazon-sagemaker-runtime,"1.12.124, 1.11.892, 1.12.261",Apache License 2.0
aws-java-sdk-for-amazon-interactive-video,"1.11.892, 1.12.124, 1.12.261",Apache License 2.0
@webassemblyjs-leb128,1.11.1,Apache License 2.0
flatten,1.0.3,MIT License
junit,"3.8.1, 4.13.2, 4.12",Eclipse Public License 1.0
html-escaper,2.0.2,MIT License
regexpu-core,4.7.1,MIT License
apache-httpcomponents-core-http-2,5.1.3,Apache License 2.0
clone,"1.0.4, 2.1.2",MIT License
@emotion-core,10.1.1,MIT License
postcss-place,4.0.1,Creative Commons Zero v1.0 Universal
apache-hadoop-registry,3.3.4,Apache License 2.0
aws-java-sdk-for-aws-elemental-medialive,"1.12.261, 1.11.892, 1.12.124",Apache License 2.0
cacache,"17.0.4, 16.1.3, 15.2.0, 15.3.0, 16.1.2, 15.0.6",ISC License
tagsoup,1.2.1,Apache License 2.0
bail,1.0.5,MIT License
inquirer-js,"8.0.0, 8.1.1, 8.1.2",MIT License
protobuf-java,"3.21.7, 3.19.2, 3.5.1, 3.21.1, 3.21.10, 3.17.3, 3.22.0","BSD 3-clause ""New"" or ""Revised"" License"
@babel-plugin-proposal-dynamic-import,"7.16.0, 7.14.5, 7.18.6",MIT License
extend-shallow,"3.0.2, 2.0.1",MIT License
gopacket,v1.1.19,"BSD 3-clause ""New"" or ""Revised"" License"
mozilla-rhino,"1.7.7.2, 1.7.7.1",Mozilla Public License 2.0
d3-chord,1.0.6,"BSD 3-clause ""New"" or ""Revised"" License"
babel-plugin-syntax-jsx,6.18.0,MIT License
go-spew,v1.1.1,ISC License
mini-css-extract-plugin,"1.5.1, 1.6.2",MIT License
akka-actor,"2.6.14, 2.6.16, 2.4.14, 2.8.0","Apache License 2.0,Business Source License 1.1"
@babel-plugin-transform-parameters,"7.14.5, 7.15.4, 7.21.3, 7.16.3",MIT License
aws-java-sdk-for-amazon-timestream-write,"1.11.892, 1.12.124, 1.12.261",Apache License 2.0
swagger-jaxrs2-jakarta,2.1.11,Apache License 2.0
jackson-dataformat-yaml,"2.14.2, 2.13.3, 2.14.0, 2.9.6, 2.13.0, 2.13.4",Apache License 2.0
popmotion,8.7.6,MIT License
regenerator-runtime,"0.13.9, 0.13.7",MIT License
@babel-helper-simple-access,"7.14.8, 7.20.2, 7.15.4, 7.18.6, 7.16.0",MIT License
@babel-plugin-transform-property-literals,"7.18.6, 7.14.5, 7.16.0",MIT License
@storybook-docs-tools,"6.5.10, 6.5.6",MIT License
cesnet,0.7.0,Apache License 2.0
sindresorhus-onetime,v5.1.2,MIT License
slick,3.3.3,"BSD 2-clause ""Simplified"" License"
@types-babel__generator,7.6.3,MIT License
readable-stream,"v2.3.7, 3.6.0",MIT License
@angular-compiler-cli,"12.1.5, 12.2.4, 14.3.0",MIT License
@types-d3-scale,2.2.6,MIT License
@jimp-custom,0.10.3,MIT License
postcss-discard-empty,"5.0.1, 5.0.2",MIT License
aws-java-sdk-for-amazonapigatewaymanagementapi,"1.12.261, 1.11.892, 1.12.124",Apache License 2.0
@types-yauzl,2.9.2,MIT License
aws-java-sdk-for-aws-x-ray,"1.11.892, 1.12.261, 1.12.124",Apache License 2.0
jackson-coreutils-equivalence,1.0,(Apache License 2.0 AND GNU Lesser General Public License v3.0 or later)
aws-java-sdk-for-amazon-qldb,"1.12.261, 1.11.892, 1.12.124",Apache License 2.0
aws-java-sdk-for-amazon-elastic-file-system,"1.11.892, 1.12.261, 1.12.124",Apache License 2.0
@types-d3-ease,1.0.10,MIT License
aws-java-sdk-for-amazon-simple-email,"1.11.892, 1.12.124, 1.12.261",Apache License 2.0
