Package,Version,License(s)
aws-java-sdk-for-aws-securityhub,"1.12.793, 1.12.124, 1.12.770, 1.11.892",Apache License 2.0
aws-java-sdk-for-timestream-influxdb,"1.12.793, 1.12.770",Apache License 2.0
aws-java-sdk-for-the-aws-simple-systems-management-(ssm)-service,"1.12.124, 1.12.793, 1.11.892, 1.12.770",Apache License 2.0
apache-commons-daemon,1.0.13,Apache License 2.0
netty-transport-classes-io_uring,4.2.7.Final,Apache License 2.0
asm-tree,"9.2, 5.0.3, 7.2, 6.2.1","BSD 3-clause ""New"" or ""Revised"" License"
jnr-posix,"3.0.44, 3.1.15","GNU Lesser General Public License v2.1 or later,(GNU Lesser General Public License v2.1 or later OR GNU General Public License v2.0 or later OR Eclipse Public License 2.0),(GNU Lesser General Public License v2.1 only OR Eclipse Public License 1.0),Eclipse Public License 1.0"
apache-kafka,"3.4.0, 2.6.1, 7.4.0-ccs, 7.6.0-ccs, 6.1.0-ccs, 6.0.0-ccs, 0.9.0.1, 3.9.1, 3.8.1, 3.6.0, 7.8.0-ccs, 3.0.1",Apache License 2.0
docker-go,20160303-snapshot-d30aec9f,"BSD 3-clause ""New"" or ""Revised"" License"
aws-java-sdk-for-auto-scaling,"1.12.770, 1.11.892, 1.12.124, 1.12.793",Apache License 2.0
k8s-io-klog,2.130.1,Apache License 2.0
snakeyaml-engine,2.7,Apache License 2.0
aws-java-sdk-for-amazon-workmail,"1.12.770, 1.12.124, 1.12.793, 1.11.892",Apache License 2.0
org-junit-jupiter-junit-jupiter-api,"5.11.4, 5.10.2",Eclipse Public License 2.0
akka-pki,2.6.14,Apache License 2.0
scalatestcore,3.2.15,Apache License 2.0
aws-java-sdk-for-cloudwatch-observability-access-manager,"1.12.770, 1.12.793",Apache License 2.0
jettison-json-stax-implementation,1.5.4,Apache License 2.0
fabric8-kubernetes-model-flowcontrol,6.13.1,Apache License 2.0
hamcrest,"1.3, v2.2, 2.1","BSD 3-clause ""New"" or ""Revised"" License"
jnr-constants,"0.10.3, 0.9.9, 0.9.12",Apache License 2.0
modern-go-reflect2,v1.0.2,Apache License 2.0
apache-avro,"1.9.2, 1.11.4",Apache License 2.0
animal-sniffer-annotations,"1.21, 1.19, 1.17, 1.23",MIT License
aws-java-sdk-for-amazon-workmail-message-flow,"1.12.124, 1.12.770, 1.11.892, 1.12.793",Apache License 2.0
container-orchestrated-devices-container-device-interface,v0.7.2,Apache License 2.0
kafka-connect-cassandra,1.2.0,Apache License 2.0
aws-java-sdk-for-aws-outposts,"1.12.770, 1.12.793, 1.12.125, 1.12.124, 1.11.892",Apache License 2.0
protobuf-java,"3.19.2, 3.21.1, 3.5.1, 3.25.5, 3.25.4, 3.17.3, 3.22.0, 3.21.7","BSD 3-clause ""New"" or ""Revised"" License"
github-com-sagikazarmark-slog-shim,0.1.0,"BSD 3-clause ""New"" or ""Revised"" License"
aws-java-sdk-for-amazon-pinpoint-sms-voice-v2,"1.12.793, 1.12.770",Apache License 2.0
aws-java-sdk-for-amazon-chime-sdk-meetings,"1.12.770, 1.12.793, 1.12.124",Apache License 2.0
