Package,Version,License(s)
golang.org-x-sys,"20210124-snapshot-22da62e1, 20190405-snapshot-97732733, 20191010-snapshot-b09406ac, 20201008-snapshot-dfb3f7c4, 20210215-snapshot-f7da38b9, 20210228-snapshot-8fe3ee5d, 20170830-snapshot-bb24a47a, 20200121-snapshot-e047566f, 20190411-snapshot-b44545bc, 20191008-snapshot-543471e8, 20200202-snapshot-d101bd24, 20180830-snapshot-49385e6e, 20210525-snapshot-35b2ab00, 20190311-snapshot-fead7900, 20190215-snapshot-d0b11bda, 20201214-snapshot-f9fddec5, 20210422-snapshot-04245dca, 20200518-snapshot-fe76b779, 20181116-snapshot-5ac8a444, 20201118-snapshot-a01c4186, 20200930-snapshot-fdedc70b, 20201217-snapshot-7d0127a7, 20210109-snapshot-789bb1bd, 20180908-snapshot-d0be0721, 20201118-snapshot-f84b799f, 20190825-snapshot-c7b8b68b, 20190209-snapshot-3b520910, 20200323-snapshot-85ca7c5b, 20190921-snapshot-0a153f01, 20210122-snapshot-9b0068b2","BSD 3-clause ""New"" or ""Revised"" License"
node-lru-cache,"4.1.3, 6.0.0",ISC License
expand-brackets,"0.1.5, 2.1.4",MIT License
is-descriptor,"0.1.6, 1.0.2",MIT License
@storybook-csf,0.0.1,MIT License
@angular-eslint-schematics,12.6.1,MIT License
connect-history-api-fallback,"1.6.0, 1.5.0",MIT License
lcid,"1.0.0, 2.0.0",MIT License
J2ObjC Annotations,"1.3, 1.1",Apache License 2.0
jest-worker,"27.0.6, 27.0.2, 23.2.0, 27.1.0, 26.6.2",MIT License
kafka-connect-mqtt,1.2.0,Apache License 2.0
parse5,"6.0.1, 5.1.1, 4.0.0, 5.1.0",MIT License
akka-protobuf-v3,"2.6.14, 2.6.15",Apache License 2.0
dns-txt,2.0.2,MIT License
fast-deep-equal,"1.1.0, 2.0.1, v3.1.3",MIT License
bmp-js,0.1.0,MIT License
@babel-plugin-transform-typeof-symbol,"7.14.5, 7.0.0, 7.16.0",MIT License
