Package, Version, License(s)
libpython2.7-stdlib, 2.7.9-2+deb8u5, Apache-2;BEOPEN;BSD;CNRI;GPL;GPL-2;OpenSSL;Python;SSLeay;zlib
libpython3-stdlib, 3.4.2-2, BEOPEN;CNRI;GPL;Python
libpython3.4-minimal, 3.4.2-1+deb8u7, BEOPEN;BSD;CNRI;GPL;GPL-2;OpenSSL;Python;SSLeay;zlib
libpython3.4-stdlib, 3.4.2-1+deb8u7, BEOPEN;BSD;CNRI;GPL;GPL-2;OpenSSL;Python;SSLeay;zlib
libreadline5, 5.2+dfsg-2, GPL;GPL-2;GPL-3
libreadline6, 6.3-8+b3, GPL;GPL-3
librtmp1, 2.4+20150115.gita107cef-1+deb8u1, GPL;GPL-2;LGPL-2
libruby2.1, 2.1.5-2+deb8u8, 2C-BSD;3C-BSD;3C-BSD-GENERIC;Artistic;BSD;Expat;GPL;GPL-1;GPL-1+;GPL-2;Ruby;SIL-1.1
libsasl2-2, 2.1.26.dfsg1-13+deb8u2, BSD;BSD-2-clause;BSD-4-clause;GPL;GPL-2;GPL-2+;GPL-3;GPL-3+
libsasl2-modules-db, 2.1.26.dfsg1-13+deb8u2, BSD;BSD-2-clause;BSD-4-clause;GPL;GPL-2;GPL-2+;GPL-3;GPL-3+
libselinux1, 2.3-2, GPL;GPL-2;LGPL-2;public domain
libsemanage-common, 2.3-1, GPL;LGPL
libsemanage1, 2.3-1+b1, GPL;LGPL
libsensors4, 1:3.3.5-2, GPL;GPL-2
libsepol1, 2.3-2, GPL;LGPL
libslang2, 2.3.0-2, GPL;GPL-2;GPL-2+
libsmartcols1, 2.25.2-6, BSD;BSD-2-clause;BSD-3-clause;BSD-4-clause;GPL;GPL-2;GPL-2+;GPL-3;GPL-3+;LGPL;LGPL-2;LGPL-2+;LGPL-2.1+;LGPL-3;LGPL-3+;MIT;public domain;public-domain
libsnapper4, 0.5.0-cl3u4, GPL;GPL-2
libsnmp-base, 5.8.1-cl3u13, BSD
libsnmp-perl, 5.8.1-cl3u13, BSD
libsnmp35, 5.8.1-cl3u13, BSD
libsqlite3-0, 3.8.7.1-1+deb8u4, GPL;GPL-2;GPL-2+;public domain;public-domain
libss2, 1.42.12-2+deb8u1, MIT
libssh2-1, 1.4.3-4.1+deb8u6, BSD
libssl1.0.0, 1.0.1t-1+deb8u12, BSD;OpenSSL;SSLeay
libstdc++6, 4.9.2-10+deb8u2, Artistic;GFDL-1;GPL;GPL-2;GPL-3;zlib
libsystemd0, 215-17+deb8u13, Expat;GPL;GPL-2;GPL-2+;LGPL-2;LGPL-2.1+;public domain;public-domain
libtai1, 1.0.0-cl3u5, Cumulus Networks Proprietary;GPL;GPL-2
libtasn1-6, 4.2-3+deb8u3, GFDL-1;GPL;GPL-3;LGPL;LGPL-2
libtext-charwidth-perl, 0.04-7+b3, Artistic;GPL;GPL-2
libtext-iconv-perl, 1.7-5+b2, Artistic;GPL;GPL-2
libtext-wrapi18n-perl, 0.06-7, Artistic;GPL
libtiff5, 4.0.3-12.3+deb8u10, BSD-like
libtimedate-perl, 2.3000-2, Artistic;GPL;GPL-1;GPL-1+
libtinfo5, 5.9+20140913-1+deb8u3, MIT
libudev1, 215-17+deb8u13, Expat;GPL;GPL-2;GPL-2+;LGPL-2;LGPL-2.1+;public domain;public-domain
libusb-0.1-4, 2:0.1.12-25, LGPL
libusb-1.0-0, 2:1.0.19-1, GPL;GPL-2;LGPL-2
libustr-1.0-1, 1.0.4-3+b2, BSD;BSD-2-clause;GPL;GPL-2;GPL-2+;LGPL-2;LGPL-2+;MIT
libuuid1, 2.25.2-6, BSD;BSD-2-clause;BSD-3-clause;BSD-4-clause;GPL;GPL-2;GPL-2+;GPL-3;GPL-3+;LGPL;LGPL-2;LGPL-2+;LGPL-2.1+;LGPL-3;LGPL-3+;MIT;public domain;public-domain
libvpx1, 1.3.0-3+deb8u2, Artistic;GPL;GPL-2;public domain
libwrap0, 7.6.q-25, BSD
libx11-6, 2:1.6.2-3+deb8u2, MIT
libx11-data, 2:1.6.2-3+deb8u2, MIT
libxau6, 1:1.0.8-1, BSD
libxcb1, 1.10-3+b1, BSD
libxdmcp6, 1:1.1.1-1+deb8u1, MIT
libxml2, 2.9.1+dfsg1-5+deb8u8, BSD
libxml2-utils, 2.9.1+dfsg1-5+deb8u8, BSD
libxpm4, 1:3.5.12-0+deb8u1, BSD
libxslt1.1, 1.1.28-2+deb8u6, BSD
libxtables10, 1.4.21-2-cl3u1, Artistic-2;GPL;GPL-2
libyaml-0-2, 0.1.6-3, Expat;permissive
linux-base, 4.5~deb8u1, GPL;GPL-2
linux-image-4.1.0-cl-7-amd64, 4.1.33-1+cl3u26, GPL;GPL-2;Unicode-data;Xen-interface
linux-image-amd64, 4.1+63+cl3u7, GPL;GPL-2
linuxptp, 1.8-cl3u4, GPL;GPL-2
lldpd, 1.0.4-0-cl3u14, APSL-2;BSD;BSD-2-clause;BSD-3-clause;Expat;GPL;GPL-2;GPL-2+;GPL-2+ with Autoconf exception;ISC;permissive
lm-sensors, 1:3.3.5-2, GPL;GPL-2
locales, 2.19-18+deb8u10, BSD;GPL;GPL-2;ISC;LGPL-2
login, 1:4.2-3+deb8u4, BSD;GPL;GPL-2
logrotate, 3.8.7-1+b1, GPL;GPL-2
lsb-base, 4.1+Debian13+nmu1, BSD;BSD-3-clause;GPL;GPL-2
lsb-release, 4.1+Debian13+nmu1, BSD;BSD-3-clause;GPL;GPL-2
lsof, 4.86+dfsg-1, BSD;GPL;GPL-2;GPL-2+;LGPL-2;LGPL-2+;Purdue;sendmail
lvm2, 2.02.111-2.2+deb8u1, GPL;GPL-2;LGPL-2
lzma, 9.22-2, public domain
make, 4.0-8.1, GPL;GPL-2
makedev, 2.3.1-93, GPL
man-db, 2.7.0.2-5, GPL;GPL-2;GPL-2+;GPL-3;GPL-3+
mawk, 1.3.3-17, GPL;GPL-2
mcelog, 153-cl3u1, GPL;GPL-2;GPL-2+
memtester, 4.3.0-3, GPL;GPL-2;GPL-2+
mgmt-vrf, 1.0-cl3u12, GPL;GPL-2
mime-support, 3.58, ad-hoc;Bellcore;public domain
module-init-tools, 18-3, GPL;GPL-2;LGPL-2
mount, 2.25.2-6, BSD;BSD-2-clause;BSD-3-clause;BSD-4-clause;GPL;GPL-2;GPL-2+;GPL-3;GPL-3+;LGPL;LGPL-2;LGPL-2+;LGPL-2.1+;LGPL-3;LGPL-3+;MIT;public domain;public-domain
mstpd, 0.r37-cl3u9, GPL;GPL-2;GPLv2.
mtd-utils, 1:1.5.1-1, GPL;GPL-2;MIT
multiarch-support, 2.19-18+deb8u10, BSD;GPL;GPL-2;ISC;LGPL-2
